Gender,Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing
0,1,-0.47274101921613393,1,-0.7864914002712937,0,-1.1609250611283035,0,0,1,0,0,0,0,0,0
1,1,-0.4129230322306227,1,1.830122786006979,1,0.786280770215034,0,0,0,0,0,1,0,0,0
0,1,1.5012525513057362,0,-0.7864914002712937,0,-1.1609250611283035,1,0,0,0,0,0,0,0,0
1,1,0.903072681450624,0,2.484276332576547,2,-0.5118564506805243,0,0,0,0,1,0,0,0,0
0,0,-1.4896467979698247,0,-0.4594146269865096,0,0.786280770215034,0,0,0,0,0,0,0,0,1
1,1,0.1852568376244894,1,-0.7864914002712937,2,1.435349380662813,0,1,0,0,0,0,0,0,0
1,1,1.0227086554216465,1,0.8488924661526268,0,0.1372121597672548,0,1,0,0,0,0,0,0,0
0,1,0.1852568376244894,1,-0.4594146269865096,1,0.1372121597672548,1,0,0,0,0,0,0,0,0
1,1,0.36471079858102307,1,-0.1323378537017255,1,0.786280770215034,1,0,0,0,0,0,0,0,0
1,0,-1.4896467979698247,0,-0.7864914002712937,0,0.786280770215034,0,0,0,0,0,1,0,0,0
1,0,-1.310192837013291,0,-0.7864914002712937,0,0.1372121597672548,0,0,0,0,0,1,0,0,0
0,0,-1.310192837013291,0,-0.7864914002712937,0,2.084417991110592,0,0,0,0,0,1,0,0,0
1,1,0.36471079858102307,1,-0.4594146269865096,1,1.435349380662813,1,0,0,0,0,0,0,0,0
1,0,-1.011102902085735,0,1.830122786006979,0,0.1372121597672548,0,0,0,0,0,1,0,0,0
1,0,-1.5494647849553358,0,-0.7864914002712937,0,0.1372121597672548,0,1,0,0,0,0,0,0,0
0,1,1.0227086554216465,1,-0.7864914002712937,0,-1.1609250611283035,1,0,0,0,0,0,0,0,0
0,1,-1.4298288109843134,1,-0.4594146269865096,1,0.1372121597672548,0,0,0,0,0,0,0,1,0
1,1,0.06562086365346698,1,-0.4594146269865096,1,-0.5118564506805243,1,0,0,0,0,0,0,0,0
1,1,0.6638007335085792,1,1.830122786006979,0,-1.1609250611283035,1,0,0,0,0,0,0,0,0
0,1,2.6377943040304492,1,-0.4594146269865096,1,0.786280770215034,0,0,0,0,0,0,0,1,0
1,1,1.142344629392669,0,-0.4594146269865096,2,0.1372121597672548,0,0,0,0,1,0,0,0,0
1,1,1.5012525513057362,0,-0.4594146269865096,2,-0.5118564506805243,0,0,0,0,0,0,0,1,0
1,0,-0.11383309730306666,1,-0.7864914002712937,0,0.786280770215034,1,0,0,0,0,0,0,0,0
1,1,2.099432421160848,0,-0.4594146269865096,2,-0.5118564506805243,0,0,0,0,1,0,0,0,0
0,1,-0.5325590062016452,1,2.157199559291763,2,0.1372121597672548,0,0,0,0,0,1,0,0,0
1,1,-1.011102902085735,0,0.8488924661526268,2,0.786280770215034,0,0,0,0,1,0,0,0,0
1,1,0.4843467725520455,1,-0.4594146269865096,0,-0.5118564506805243,0,0,1,0,0,0,0,0,0
0,0,-0.8914669281147124,1,-0.7864914002712937,0,0.786280770215034,0,0,0,0,0,1,0,0,0
0,1,2.099432421160848,0,-0.4594146269865096,2,-0.5118564506805243,0,0,0,0,0,0,0,1,0
1,1,2.577976317044938,1,-0.4594146269865096,2,-0.5118564506805243,0,0,0,0,0,0,0,1,0
1,1,2.6976122910159606,0,-0.4594146269865096,0,-0.5118564506805243,0,0,0,0,0,0,0,1,0
